id,title,description,price,category,condition,location,images,created_at,updated_at
1,아이폰 14 프로 256GB,미개봉,600000,휴대폰,새제품,서울,[Image of 아이폰 14 프로],2023-08-01,2023-08-02
2,갤럭시 S22,256GB 중고 A급부산,2000000,휴대폰,새제품,광주,[Image of 갤럭시 S22],2023-08-02,2023-08-03
3,노트북 16GB RAM,512GB SSD RTX 3070,2000000,노트북,새제품,대구,[Image of 노트북],2023-08-03,2023-08-04
4,데스크톱 컴퓨터,i9-12900K RTX 3090 32GB RAM,3500000,컴퓨터,새제품,인천,[Image of 데스크톱 컴퓨터],2023-08-04,2023-08-05
5,태블릿 12.9인치 M1칩,128GB,1500000,태블릿,새제품,대전,[Image of 태블릿],2023-08-05,2023-08-06
6,스마트워치 애플워치 7,45mmGPS,500000,웨어러블,새제품,광주,[Image of 스마트워치],2023-08-06,2023-08-07
7,이어폰,에어팟 프로,300000,음향기기,새제품,울산,[Image of 이어폰],2023-08-07,2023-08-08
8,TV 75인치,QLED 4K,2000000,TV,새제품,세종,[Image of TV],2023-08-08,2023-08-09
9,냉장고,500리터 4도어 김치냉장고,1500000,가전제품,새제품,경기도,[Image of 냉장고],2023-08-09,2023-08-10
10,세탁기,10kg AI 건조기 포함,1200000,가전제품,새제품,강원도,[Image of 세탁기],2023-08-10,2023-08-11
11,아이패드 프로 11,256GB 120Hz ProMotion 디스플레이 A14 칩,1100000,태블릿,중고,인천,[Image of 아이패드 프로 11],2023-08-11,2023-08-12
12,마이크로소프트 서피스,i7 16GB RAM 512GB SSD 터치스크린,1800000,노트북2,새제품,부산,[Image of 마이크로소프트 서피스],2023-08-12,2023-08-13
13,무선 이어폰,삼성 갤럭시 버즈 프로,250000,음향기기,중고,대전,[Image of 갤럭시 버즈 프로],2023-08-13,2023-08-14
14,게이밍 노트북,RTX 3080  32GB RAM  1TB SSD,3200000,노트북,중고,서울,[Image of 게이밍 노트북],2023-08-14,2023-08-15
15,스마트폰,LG 벨벳 128GB 5G,600000,휴대폰,새제품,광주,[Image of LG 벨벳],2023-08-15,2023-08-16
16,무선 키보드,로지텍 MX Keys,150000,컴퓨터 액세서리,"새제품 ",대구,[Image of 로지텍 MX Keys],2023-08-16,2023-08-17
17,스마트 홈 카메라,아레보 AB-200  Full HD 모션 감지,180000,스마트 홈,새제품,부산,[Image of 아레보 AB-200],2023-08-17,2023-08-18
18,드론,"DJI Mavic Air 2 48MP 카메라 34분 비행 ",1000000,전자제품,중고,울산,[Image of DJI Mavic Air 2],2023-08-18,2023-08-19
19,블루투스 스피커,JBL Charge 5 방수 및 방진 기능,250000,음향기기,중고,세종,[Image of JBL Charge 5],2023-08-19,2023-08-20
20,무선 충전패드,애플 매직 무선 충전패드,80000,모바일 액세서리,새제품,경기도,[Image of 애플 매직 충전패드],2023-08-20,2023-08-21
21,공기청정기,다이슨 Pure Cool TP04 HEPA 필터,900000,가전제품,중고,대전,[Image of 다이슨 공기청정기],2023-08-21,2023-08-22
22,카메라 삼각대,Manfrotto Befree Advanced,200000,카메라 액세서리,중고,광주,[Image of Manfrotto 삼각대],2023-08-22,2023-08-23
23,아이스크림 메이커,카펠리니 1.5리터 자동 냉동기능,120000,주방용품,새제품,인천,[Image of 아이스크림 메이커],2023-08-23,2023-08-24
24,와이파이 공유기,ASUS RT-AX82U Wi-Fi 6 5400Mbps,300000,네트워크 장비,중고,서울,[Image of ASUS RT-AX82U],2023-08-24,2023-08-25
25,스마트 플러그,TP-Link Kasa HS100 원격 제어 가능,50000,스마트 홈,새제품,부산,[Image of TP-Link Kasa HS100],2023-08-25,2023-08-26
26,무선 이어폰,Sony WF-1000XM4 노이즈 캔슬링,280000,음향기기,중고,대구,[Image of Sony WF-1000XM4],2023-08-26,2023-08-27
27,컴퓨터 모니터,삼성 오디세이 G7 27인치 240Hz,1500000,컴퓨터 액세서리,새제품,세종,[Image of 삼성 오디세이 G7],2023-08-27,2023-08-28
28,전자책 리더기,Amazon Kindle Paperwhite,200000,모바일 액세서리,중고,울산,[Image of Kindle Paperwhite],2023-08-28,2023-08-29
29,음성인식 스피커,Google Nest Audio,120000,음향기기,새제품,인천,[Image of Google Nest Audio],2023-08-29,2023-08-30
30,게이밍 모니터,LG UltraGear 34GN850-B 34인치 144Hz,2500000,컴퓨터 액세서리,중고,대전,[Image of LG UltraGear 34GN850-B],2023-08-30,2023-08-31
31,스마트 스케일,Withings Body+ 체지방 분석,80000,스마트 홈,새제품,광주,[Image of Withings Body+],2023-08-31,2023-09-01
32,노트북 스탠드,Rain Design mStand,80000,노트북 액세서리,중고,부산,[Image of Rain Design mStand],2023-09-01,2023-09-02
33,휴대용 프린터,Canon PIXMA iP110 이동형 프린터,300000,프린터 및 스캐너,새제품,서울,[Image of Canon PIXMA iP110],2023-09-02,2023-09-03
34,핸드헬드 블렌더,Hamilton Beach 개인용 블렌더,70000,주방용품,중고,대구,[Image of Hamilton Beach 블렌더],2023-09-03,2023-09-04
35,키보드 마우스 세트,Logitech MK270 무선 키보드 마우스,60000,컴퓨터 액세서리,새제품,인천,[Image of Logitech MK270],2023-09-04,2023-09-05
36,게이밍 의자,Secretlab Omega 시크릿랩 오메가,900000,가구 및 인테리어,중고,울산,[Image of Secretlab Omega],2023-09-05,2023-09-06
37,헤어 드라이어,Dyson Supersonic HD03,400000,뷰티 및 건강,새제품,세종,[Image of Dyson Supersonic],2023-09-06,2023-09-07
38,블루투스 이어폰,Anker Soundcore Liberty Air 2,120000,음향기기,중고,부산,[Image of Anker Liberty Air 2],2023-09-07,2023-09-08
39,노트북 쿨링 패드,Kootek 노트북 쿨링 패드,30000,컴퓨터 액세서리,새제품,광주,[Image of Kootek 쿨링 패드],2023-09-08,2023-09-09
40,무선 라우터,Netgear Nighthawk AX12 Wi-Fi 6,350000,네트워크 장비,중고,울산,[Image of Netgear Nighthawk AX12],2023-09-09,2023-09-10